subject,year,location,creator,type,attribution,icon,choice,lat,lng,popup,image,img_src,has_img,geometry
James T. Garvin House,1825,"Greenfield, NH",Porter School,mural,Lipman,school,school,42.9515682751271,-71.878719832229,"<b>James T. Garvin House</b><br>Greenfield, NH, circa 1825<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=771', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=771,Wallpapered over.,no,"c(42.9515682751271, -71.878719832229)"
Eliot Hutchinson House,1825,"Greenfield, NH",Porter School,mural,Lipman,school,school,42.9503111654435,-71.8701095419559,"<b>Eliot Hutchinson House</b><br>Greenfield, NH, circa 1825<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=772', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=772,Wallpapered over.,no,"c(42.9503111654435, -71.8701095419559)"
Gould-Chickering House,1825,"New Ipswich, NH",Porter School,mural,Lipman,school,school,42.7383559669109,-71.8848856181932,"<b>Gould-Chickering House</b><br>New Ipswich, NH, circa 1825<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=780', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=780,Wallpapered over.,no,"c(42.7383559669109, -71.8848856181932)"
Penniman-Stearns House,1830,"Bedford, MA",Porter School,mural,Lipman,school,school,42.4939029861077,-71.2749084391226,"<b>Penniman-Stearns House</b><br>Bedford, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=784', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=784,Wallpapered over.,no,"c(42.4939029861077, -71.2749084391226)"
Donald Schult House,1830,"Billerica, MA",Porter School,mural,Lipman,school,school,42.5622392917633,-71.2770530950668,"<b>Donald Schult House</b><br>Billerica, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=787', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=787,Wallpapered over.,no,"c(42.5622392917633, -71.2770530950668)"
Lyons House,1830,"Billerica, MA",Porter School,mural,Lipman,school,school,42.5615214782936,-71.2825317651341,"<b>Lyons House</b><br>Billerica, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=788', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=788,Wallpapered over.,no,"c(42.5615214782936, -71.2825317651341)"
Manning Manse,1830,"Billerica, MA",Porter School,mural,Lipman,school,school,42.557033838102,-71.2824337868504,"<b>Manning Manse</b><br>Billerica, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=790', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=790,Wallpapered over.,no,"c(42.557033838102, -71.2824337868504)"
Spofford House,1830,"Groveland, MA",Porter School,mural,Lipman,school,school,42.7580458557855,-71.0421213031435,"<b>Spofford House</b><br>Groveland, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=792', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=792,Wallpapered over.,no,"c(42.7580458557855, -71.0421213031435)"
Edna Worthing Cottage,1830,"Groveland, MA",Porter School,mural,Lipman,school,school,42.7587143389278,-71.0374499098116,"<b>Edna Worthing Cottage</b><br>Groveland, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=793', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=793,Wallpapered over.,no,"c(42.7587143389278, -71.0374499098116)"
Ingalls House,1830,"South Bridgton, ME",Porter School,mural,Lipman,school,school,43.9944472116828,-70.7013388930722,"<b>Ingalls House</b><br>South Bridgton, ME, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=805', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=805,Wallpapered over.,no,"c(43.9944472116828, -70.7013388930722)"
Pingree House,1832,"Georgetown, MA",Porter School,mural,Lipman,school,school,42.7289776482059,-70.9887262210971,"<b>Pingree House</b><br>Georgetown, MA, circa 1832<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=807', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=807,Wallpapered over.,no,"c(42.7289776482059, -70.9887262210971)"
John C. Wilkins House,1832,"Georgetown, MA",Porter School,mural,Lipman,school,school,42.7281950472017,-70.9804385812967,"<b>John C. Wilkins House</b><br>Georgetown, MA, circa 1832<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=810', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=810,Wallpapered over.,no,"c(42.7281950472017, -70.9804385812967)"
Levi Prosser House,1835,"Charlestown, MA",Porter School,mural,Lipman,school,school,42.3762136012948,-71.0587999559239,"<b>Levi Prosser House</b><br>Charlestown, MA, circa 1835<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=812', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=812,Wallpapered over.,no,"c(42.3762136012948, -71.0587999559239)"
House near Route 28,1835,"North Reading, MA",Porter School,mural,Lipman,school,school,42.5739515282869,-71.0712568462024,"<b>House near Route 28</b><br>North Reading, MA, circa 1835<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=814', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=814,Wallpapered over.,no,"c(42.5739515282869, -71.0712568462024)"
Franklin Poole House,1835,"Wakefield, MA",Porter School,mural,Lipman,school,school,42.5065493401091,-71.0801224080493,"<b>Franklin Poole House</b><br>Wakefield, MA, circa 1835<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=816', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=816,Wallpapered over.,no,"c(42.5065493401091, -71.0801224080493)"
Kenneth Odiorne House,1835,"Wakefield, MA",Porter School,mural,Lipman,school,school,42.5069114032288,-71.0724014922042,"<b>Kenneth Odiorne House</b><br>Wakefield, MA, circa 1835<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=819', width = '300'><br><small>Wallpapered over.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=819,Wallpapered over.,no,"c(42.5069114032288, -71.0724014922042)"
John Hancock Inn,1825,"Hancock, NH",Porter School,mural,Lipman,school,school,42.9754995599396,-71.9843008733125,"<b>John Hancock Inn</b><br>Hancock, NH, circa 1825<br>Attributed to Porter School by Jean Lipman<br><img src='https://www.ledgertranscript.com/getattachment/8fdc6a21-ab1a-404d-bd3c-dab1eb234b96/rerufus-ml-011620-ph1', width = '300'><br><small>""Muralist Rufus Porter left his mark on many homes and inns in the Monadnock Region"" by Abbe Hamilton</small>",https://www.ledgertranscript.com/getattachment/8fdc6a21-ab1a-404d-bd3c-dab1eb234b96/rerufus-ml-011620-ph1,"""Muralist Rufus Porter left his mark on many homes and inns in the Monadnock Region"" by Abbe Hamilton",yes,"c(42.9754995599396, -71.9843008733125)"
Emerson House,1835,"Wakefield, MA",Rufus Porter,mural,signed,rp_mural,rp,42.499740420027,-71.0689647309694,"<b>Emerson House</b><br>Wakefield, MA, circa 1835<br>Signed by Rufus Porter<br><img src='http://s3.amazonaws.com/afanews_articles/01019/FIG-1_-%281.5-pg.png', width = '300'><br><small>""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe</small>",http://s3.amazonaws.com/afanews_articles/01019/FIG-1_-%281.5-pg.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe",yes,"c(42.499740420027, -71.0689647309694)"
Warren Pederson House,1830,"Standish, ME",Jonathan D. Poor,mural,signed,jdp,jdp,43.7393394156694,-70.5439402117196,"<b>Warren Pederson House</b><br>Standish, ME, circa 1830<br>Signed by Jonathan D. Poor<br><img src='http://s3.amazonaws.com/afanews_articles/01019/FIG-10_-%282.png', width = '300'><br><small>""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe</small>",http://s3.amazonaws.com/afanews_articles/01019/FIG-10_-%282.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe",yes,"c(43.7393394156694, -70.5439402117196)"
Oliver Prescott House,1835,"Groton, MA",Jonathan D. Poor,mural,signed,jdp,jdp,42.6130508913683,-71.5775680405822,"<b>Oliver Prescott House</b><br>Groton, MA, circa 1835<br>Signed by Jonathan D. Poor<br><img src='http://s3.amazonaws.com/afanews_articles/01019/FIG-11_-13---Prescott-signature.png', width = '300'><br><small>""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe</small>",http://s3.amazonaws.com/afanews_articles/01019/FIG-11_-13---Prescott-signature.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe",yes,"c(42.6130508913683, -71.5775680405822)"
Judge Bean House,1835,"Readfield, ME",Jonathan D. Poor,mural,signed,jdp,jdp,44.3843474796133,-69.9788298488742,"<b>Judge Bean House</b><br>Readfield, ME, circa 1835<br>Signed by Jonathan D. Poor<br><img src='http://s3.amazonaws.com/afanews_articles/01019/FIG-12_-10---Bean-signature-on-ship-LCL.png', width = '300'><br><small>""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe</small>",http://s3.amazonaws.com/afanews_articles/01019/FIG-12_-10---Bean-signature-on-ship-LCL.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe",yes,"c(44.3843474796133, -69.9788298488742)"
Dalton House,1830,"Parsonfield, ME",Jonathan D. Poor,mural,signed,jdp,jdp,43.7273898042521,-70.9167745721777,"<b>Dalton House</b><br>Parsonfield, ME, circa 1830<br>Signed by Jonathan D. Poor<br><img src='http://s3.amazonaws.com/afanews_articles/01019/FIG-13_-15---Dalton-signature.png', width = '300'><br><small>""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe</small>",http://s3.amazonaws.com/afanews_articles/01019/FIG-13_-15---Dalton-signature.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe",yes,"c(43.7273898042521, -70.9167745721777)"
Chillis House,1830,"Parsonfield, ME",Jonathan D. Poor,mural,signed,jdp,jdp,43.7281598255822,-70.9420258200463,"<b>Chillis House</b><br>Parsonfield, ME, circa 1830<br>Signed by Jonathan D. Poor<br><img src='http://s3.amazonaws.com/afanews_articles/01019/FIG-14_-16---Morison-signature.png', width = '300'><br><small>""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe</small>",http://s3.amazonaws.com/afanews_articles/01019/FIG-14_-16---Morison-signature.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe",yes,"c(43.7281598255822, -70.9420258200463)"
Lorenzo Norton House,1840,"East Baldwin, ME",Jonathan D. Poor,mural,signed,jdp,jdp,43.8030375478209,-70.671603444602,"<b>Lorenzo Norton House</b><br>East Baldwin, ME, circa 1840<br>Signed by Jonathan D. Poor<br><img src='http://s3.amazonaws.com/afanews_articles/01019/FIG-2b_-stitch_new.png', width = '300'><br><small>""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe</small>",http://s3.amazonaws.com/afanews_articles/01019/FIG-2b_-stitch_new.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe",yes,"c(43.8030375478209, -70.671603444602)"
Ingalls-Colby House,1830,"East Haverhill, MA",Porter School,mural,Lipman,school,school,42.7501658446698,-71.0961075483133,"<b>Ingalls-Colby House</b><br>East Haverhill, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='http://s3.amazonaws.com/afanews_articles/01019/FIG-3_-%281.7-pg.png', width = '300'><br><small>""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe</small>",http://s3.amazonaws.com/afanews_articles/01019/FIG-3_-%281.7-pg.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe",yes,"c(42.7501658446698, -71.0961075483133)"
Burbank House,1835,"Mt. Vernon, ME",Jonathan D. Poor,mural,tradition,jdp,jdp,44.5035491108454,-69.984975573223707,"<b>Burbank House</b><br>Mt. Vernon, ME, circa 1835<br>Traditionally attributed to Jonathan D. Poor<br><img src='http://s3.amazonaws.com/afanews_articles/01019/FIG-5_-%282.37-pg.png', width = '300'><br><small>""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe</small>",http://s3.amazonaws.com/afanews_articles/01019/FIG-5_-%282.37-pg.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe",yes,"c(44.5035491108454, -69.9849755732237)"
E.A. West House,1838,"Westwood, MA",Rufus Porter and Stephen Twombly Porter,mural,tradition,rp_mural,rp,42.2135047857837,-71.2170059991651,"<b>E.A. West House</b><br>Westwood, MA, circa 1838<br>Traditionally attributed to Rufus Porter and Stephen Twombly Porter<br><img src='https://www.themagazineantiques.com/wp-content/uploads/2020/01/IMG_0011c.jpg', width = '300'><br><small>""Revisiting Rufus Porter"" by Suzanne Rudnick Payne and Michael R. Payne</small>",https://www.themagazineantiques.com/wp-content/uploads/2020/01/IMG_0011c.jpg,"""Revisiting Rufus Porter"" by Suzanne Rudnick Payne and Michael R. Payne",yes,"c(42.2135047857837, -71.2170059991651)"
Knowlton House,1830,"Winthrop, ME",E.J. Gilbert,mural,signed,other,other,44.30627494563,-69.9665770132047,"<b>Knowlton House</b><br>Winthrop, ME, circa 1830<br>Signed by E.J. Gilbert<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQHU8SLtIYvAtiUa5hUQh8kP05XH3bN5YwZJ_VSTqOGJXbFWtKSWUj_nto6kS7MofOsJ82S_mr7J9rI/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vQHU8SLtIYvAtiUa5hUQh8kP05XH3bN5YwZJ_VSTqOGJXbFWtKSWUj_nto6kS7MofOsJ82S_mr7J9rI/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(44.30627494563, -69.9665770132047)"
Captain Leavitt House,1830,"Turner, ME",Orison Wood,mural,Lipman,other,other,44.2558563027109,-70.2582758626765,"<b>Captain Leavitt House</b><br>Turner, ME, circa 1830<br>Attributed to Orison Wood by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRfoIoV8nru1NI3mNVG4O0vVU_Z__SroZdFbn9A9FIoBfFjObXOaepd1YPAGJIYTX05urXAWqzJPOsH/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vRfoIoV8nru1NI3mNVG4O0vVU_Z__SroZdFbn9A9FIoBfFjObXOaepd1YPAGJIYTX05urXAWqzJPOsH/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(44.2558563027109, -70.2582758626765)"
Warren-Towle House,1830,"Fryeburg, ME",Porter School,mural,Lipman,school,school,44.0181312302096,-70.9715638845874,"<b>Warren-Towle House</b><br>Fryeburg, ME, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQ-V62GFhXIhooqhRVee_TgoQOK2E_m_9ib-1mHHxnwbMR8YYxe_a7HACxiXT5aUoYsNoMnKjwaZwSB/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vQ-V62GFhXIhooqhRVee_TgoQOK2E_m_9ib-1mHHxnwbMR8YYxe_a7HACxiXT5aUoYsNoMnKjwaZwSB/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(44.0181312302096, -70.9715638845874)"
Kent House,1825,"Lyme, NH",Porter School,mural,Lipman,school,school,43.8065225214848,-72.1662379964722,"<b>Kent House</b><br>Lyme, NH, circa 1825<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQ7UEfZeysAfcnsx3EqJrGaqgY4zlchwEuG2jlmZmV0XYwlQbUXNH-uH-oLC5j5z-lnKos7EtUkw8u_/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vQ7UEfZeysAfcnsx3EqJrGaqgY4zlchwEuG2jlmZmV0XYwlQbUXNH-uH-oLC5j5z-lnKos7EtUkw8u_/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(43.8065225214848, -72.1662379964722)"
"Stephen Parker, Jr. House",1830,"Groveland, MA",Porter School,mural,Lefko,school,school,42.7597486203383,-71.0270374749642,"<b>Stephen Parker, Jr. House</b><br>Groveland, MA, circa 1830<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQIdS_RBb3GvkGFRcZALraMynI-z-to1DFm3fxwQv4_8ja85HEgFhuEvA-_9Ek8Vrt1smr3dM9bDixa/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vQIdS_RBb3GvkGFRcZALraMynI-z-to1DFm3fxwQv4_8ja85HEgFhuEvA-_9Ek8Vrt1smr3dM9bDixa/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(42.7597486203383, -71.0270374749642)"
Timothy Smith House,1835,"Westwood, MA",Porter School,mural,Lefko,school,school,42.2100039275008,-71.2131073273594,"<b>Timothy Smith House</b><br>Westwood, MA, circa 1835<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQJ-4ClFiA319Lf4N_u0W0PriVszRGd9tsJeSRE3QJzGxd9DO1-Fz36kihHcSl-5h9D6sSantbflXzN/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vQJ-4ClFiA319Lf4N_u0W0PriVszRGd9tsJeSRE3QJzGxd9DO1-Fz36kihHcSl-5h9D6sSantbflXzN/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(42.2100039275008, -71.2131073273594)"
Zebulon Trickey House,1830,"Westbrook, ME",Porter School,mural,Lipman,school,school,43.6737281343552,-70.3807998899554,"<b>Zebulon Trickey House</b><br>Westbrook, ME, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQjkugEsA_rqY5xQbeOI-CvJuzBlt2yh2JjifbRVG0ISz9SfPj-tuHIpvmSL7tvO09yoV0eQ5WDi5HO/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vQjkugEsA_rqY5xQbeOI-CvJuzBlt2yh2JjifbRVG0ISz9SfPj-tuHIpvmSL7tvO09yoV0eQ5WDi5HO/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(43.6737281343552, -70.3807998899554)"
Bartlett House,1830,"Amesbury, MA",Porter School,mural,Lipman,school,school,42.8548154068936,-70.9310425396766,"<b>Bartlett House</b><br>Amesbury, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQJu-Znem26TndcKbzeQymjyAkgg8Fb5fcopjWB0GJ1AYdoeEmq4ZvrmjEDfbH_TIsFpsoleC26kTdJ/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vQJu-Znem26TndcKbzeQymjyAkgg8Fb5fcopjWB0GJ1AYdoeEmq4ZvrmjEDfbH_TIsFpsoleC26kTdJ/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(42.8548154068936, -70.9310425396766)"
